sub_idx,Cond,Order,Group,Trial_idx,Outcome,Choice_t,Correct,winstay_t1,winstay_t2,winstay_t3,winstay_t4,loseshift_t1,loseshift_t2,loseshift_t3,loseshift_t4,RT,State
1,2,1,1,134,0,0,0,1,1,-0,1,-0,-0,1,-0,0.613639371925728,1
1,2,1,1,135,0,1,1,-0,1,1,-0,1,-0,-0,1,0.365287055910358,1
1,2,1,1,136,0,0,0,0,-0,1,1,-1,1,-0,-0,0.465192251657299,1
1,2,1,1,137,1,1,1,-0,0,-0,1,1,-1,1,-0,0.625831302796087,1
1,2,1,1,138,1,1,1,1,-0,0,-0,-0,1,-1,1,0.600165315574486,1
1,2,1,1,139,1,1,1,1,1,-0,0,-0,-0,1,-1,0.631320326868718,1
1,2,1,1,140,0,0,0,1,1,1,-0,-0,-0,-0,1,0.756711741138133,1
1,2,1,1,141,1,1,1,-0,1,1,1,1,-0,-0,-0,0.568781538040184,1
1,2,1,1,142,1,1,1,1,-0,1,1,-0,1,-0,-0,0.709736637884816,1
1,2,1,1,143,0,0,0,1,1,-0,1,-0,-0,1,-0,0.609468684840067,1
1,2,1,1,144,1,1,1,-0,1,1,-0,1,-0,-0,1,0.607452054707665,1
1,2,1,1,145,1,1,1,1,-0,1,1,-0,1,-0,-0,0.547173391052638,1
1,2,1,1,146,0,0,0,1,1,-0,1,-0,-0,1,-0,1.00415613471705,1
1,2,1,1,147,1,1,1,-0,1,1,-0,1,-0,-0,1,0.984773304506689,1
1,2,1,1,148,1,1,1,1,-0,1,1,-0,1,-0,-0,0.690833347145144,1
1,2,1,1,149,0,0,0,1,1,-0,1,-0,-0,1,-0,0.648544515878712,1
1,2,1,1,150,1,1,1,-0,1,1,-0,1,-0,-0,1,0.474210549214149,1
1,2,1,1,151,0,0,0,1,-0,1,1,-0,1,-0,-0,0.494318072003352,1
1,2,1,1,152,1,1,1,-0,1,-0,1,1,-0,1,-0,0.48125832943515,1
1,2,1,1,153,0,0,0,1,-0,1,-0,-0,1,-0,1,0.601387446201443,1
1,2,1,1,154,0,0,0,-0,1,-0,1,1,-0,1,-0,0.761287679774341,1
1,2,1,1,155,1,1,1,-0,-0,1,-0,1,1,-0,1,0.649724488411721,1
1,2,1,1,156,1,1,1,1,-0,-0,1,-0,1,1,-0,0.833068436898429,1
1,2,1,1,157,0,0,0,1,1,-0,-0,-0,-0,1,1,0.727691625120315,1
1,2,1,1,158,1,1,1,-0,1,1,-0,1,-0,-0,1,0.470283301699965,1
1,2,1,1,159,0,1,1,1,-0,1,1,-0,1,-0,-0,0.731590520410464,1
1,2,1,1,160,0,0,0,0,1,-0,1,-1,-0,1,-0,0.69254286115256,1
2,2,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1494649144588,1
2,2,1,1,2,1,1,1,1,NaN,NaN,NaN,-0,NaN,NaN,NaN,0.619409938808531,1
2,2,1,1,3,1,1,1,1,1,NaN,NaN,-0,-0,NaN,NaN,0.429614697350189,1
